Product Name,Brand Name,Specifications,Description,Category, min_price, average_selling_price, max_price
Samsung 55" 4K Smart TV,Samsung,55" 4K UHD,Smart LED TV with HDR,TVs
LG 65" OLED 4K Ultra HD TV,LG,65" OLED 4K UHD,OLED Smart TV with Dolby Vision,TVs
Sony 50" Full HD LED TV,Sony,50" Full HD,LED TV with Motionflow XR,TVs
TCL 43" Roku Smart TV,TCL,43" 1080p,Smart LED TV with Roku OS,TVs
Vizio 60" 4K HDR Smart TV,Vizio,60" 4K UHD,Smart LED TV with Dolby Vision,TVs
Hisense 55" 4K Android TV,Hisense,55" 4K UHD,Android Smart TV with Voice Remote,TVs
Philips 70" 4K HDR TV,Philips,70" 4K UHD,HDR LED TV with Ambilight,TVs
Panasonic 65" 4K Ultra HD TV,Panasonic,65" 4K UHD,Smart LED TV with Dolby Atmos,TVs
Sharp 50" 4K Android TV,Sharp,50" 4K UHD,Android Smart TV with Google Assistant,TVs
Toshiba 55" Fire TV Edition,Toshiba,55" 4K UHD,Fire TV Edition Smart LED TV,TVs
Samsung 75" QLED 8K TV,Samsung,75" 8K QLED,QLED TV with Quantum Processor 8K,TVs
LG 55" NanoCell 4K TV,LG,55" 4K NanoCell,NanoCell Smart TV with ThinQ AI,TVs
Sony 65" 4K HDR Android TV,Sony,65" 4K UHD,Android Smart TV with X1 Processor,TVs
TCL 55" QLED 4K Android TV,TCL,55" 4K QLED,Android Smart TV with Quantum Dot,TVs
Vizio 65" P-Series Quantum TV,Vizio,65" 4K UHD,P-Series Quantum Smart TV,TVs
Hisense 50" 4K Roku TV,Hisense,50" 4K UHD,Roku Smart LED TV with Dolby Vision,TVs
Philips 55" 4K Android TV,Philips,55" 4K UHD,Android Smart TV with P5 Processor,TVs
Panasonic 58" 4K HDR TV,Panasonic,58" 4K UHD,HDR LED TV with Dolby Vision,TVs
Sharp 65" 4K Aquos TV,Sharp,65" 4K UHD,Aquos Smart LED TV with Motion Rate 120,TVs
Toshiba 43" HD Smart TV,Toshiba,43" 720p,HD Smart LED TV with Fire TV,TVs
Organic Avocado,Green Farms,1 piece,Fresh organic avocado,Food and Groceries
Whole Wheat Bread,Healthy Harvest,800g loaf,Whole wheat bread for healthy living,Food and Groceries
Organic Eggs,Happy Hens,12 count,Farm-fresh organic eggs,Food and Groceries
Almond Milk,Silk,1 quart,Non-dairy almond milk,Food and Groceries
Wild-caught Salmon,Fresh Catch,200g fillet,Fresh wild-caught salmon fillet,Food and Groceries
Organic Spinach,Green Leaf Farms,250g bag,Fresh organic spinach leaves,Food and Groceries
Quinoa,Healthy Grains,500g pack,Organic quinoa grains,Food and Groceries
Greek Yogurt,Authentic Yogurt Co.,500g tub,Greek-style yogurt with live cultures,Food and Groceries
Organic Apples,Orchard Delight,1kg bag,Fresh organic apples,Food and Groceries
Extra Virgin Olive Oil,Terra Verde,500ml bottle,Cold-pressed extra virgin olive oil,Food and Groceries
Brown Rice,Whole Harvest,1kg pack,Whole grain brown rice,Food and Groceries
Organic Chicken Breast,Farm Fresh Organics,500g pack,Fresh organic chicken breast,Food and Groceries
Raw Honey,Nature's Bounty,500g jar,Unprocessed raw honey,Food and Groceries
Mixed Berries,Forest Fresh,300g pack,Frozen mixed berries,Food and Groceries
Chia Seeds,Superfoods Inc.,250g pack,Organic chia seeds,Food and Groceries
Grass-fed Beef,Prime Cuts,400g pack,Grass-fed beef steak,Food and Groceries
Gluten-free Pasta,Healthy Eats,350g pack,Gluten-free pasta made from quinoa,Food and Groceries
Organic Kale,Green Leaf Farms,200g bunch,Fresh organic kale leaves,Food and Groceries
Coconut Water,Island Bliss,1 liter carton,Pure coconut water,Food and Groceries
Organic Black Beans,Natural Harvest,500g pack,Organic canned black beans,Food and Groceries
Google Nest Thermostat,Google,Smart thermostat,Programmable thermostat with energy-saving features,Smart Home Appliances
Ring Video Doorbell,Ring,1080p HD video,Smart doorbell with motion detection,Smart Home Appliances
Philips Hue Smart Bulbs,Philips,White and color ambiance bulbs,Smart LED bulbs with app control,Smart Home Appliances
Amazon Echo Dot (4th Gen),Amazon,Echo Dot smart speaker,Smart speaker with Alexa voice control,Smart Home Appliances
Nest Hello Video Doorbell,Google,HD video with HDR,Smart doorbell with facial recognition,Smart Home Appliances
Ecobee Smart Thermostat,Ecobee,Smart thermostat with voice control,Energy-saving thermostat with room sensors,Smart Home Appliances
Samsung SmartThings Hub,Samsung,Smart home hub,Connects smart devices for centralized control,Smart Home Appliances
August Smart Lock Pro,August,Smart door lock,Keyless entry with smartphone control,Smart Home Appliances
LIFX Smart LED Strip,LIFX,Color-changing LED strip,Smart LED strip with Wi-Fi control,Smart Home Appliances
Wyze Cam Pan,Wyze,1080p HD pan-tilt camera,Smart security camera with motion tracking,Smart Home Appliances
Roomba i7+ Robot Vacuum,iRobot,Self-emptying vacuum robot,Smart vacuum cleaner with mapping technology,Smart Home Appliances
Nest Learning Thermostat,Google,Learning thermostat,Programmable thermostat with adaptive technology,Smart Home Appliances
Ring Spotlight Cam,Ring,1080p HD camera,Smart security camera with built-in spotlight,Smart Home Appliances
TP-Link Kasa Smart Plug,TP-Link,Smart plug,Wi-Fi enabled smart plug for remote control,Smart Home Appliances
Amazon Echo Show 10 (3rd Gen),Amazon,Smart display,Smart display with motion tracking and Alexa,Smart Home Appliances
Arlo Pro 3 Security Camera,Arlo,2K HDR camera,Wire-free smart security camera system,Smart Home Appliances
Wemo Smart Light Switch,Wemo,Smart light switch,Control lights remotely with smartphone,Smart Home Appliances
Google Nest Protect Smoke Detector,Google,Smart smoke detector,Smoke and carbon monoxide detector with alerts,Smart Home Appliances
Sonos One Smart Speaker,Sonos,Smart speaker with voice control,Wireless smart speaker with built-in Alexa,Smart Home Appliances
Eufy RoboVac 11S Robot Vacuum,Eufy,Slim robot vacuum,Quiet smart vacuum cleaner with boostIQ technology,Smart Home Appliances
Apple MacBook Pro (13-inch),Apple,13.3" Retina display,Powerful laptop with M1 chip, Laptops
Dell XPS 13,Dell,13.4" InfinityEdge display,Ultra-portable laptop with Intel Core processor, Laptops
HP Spectre x360,HP,13.3" 4K touchscreen,Convertible laptop with Intel Core i7 processor, Laptops
Lenovo ThinkPad X1 Carbon,Lenovo,14" FHD display,Ultra-lightweight business laptop, Laptops
Microsoft Surface Laptop 4,Microsoft,13.5" PixelSense display,Thin and light laptop with AMD Ryzen processor, Laptops
Asus ZenBook 14,Asus,14" Full HD display,Ultra-slim laptop with Intel Core i7 processor, Laptops
Acer Swift 3,Acer,14" Full HD IPS display,Thin and light laptop with AMD Ryzen 5 processor, Laptops
Razer Blade 15,Razer,15.6" 4K OLED touchscreen,Gaming laptop with NVIDIA GeForce RTX 30 series GPU, Laptops
Lenovo Yoga C940,Lenovo,14" 4K touchscreen,Convertible laptop with Intel Core i7 processor, Laptops
HP Envy 13,HP,13.3" Full HD display,Stylish laptop with Intel Core i5 processor, Laptops
Dell Inspiron 15,Dell,15.6" Full HD display,Budget-friendly laptop with Intel Core i3 processor, Laptops
Apple MacBook Air (M1),Apple,13.3" Retina display,Lightweight laptop with M1 chip, Laptops
Microsoft Surface Pro 8,Microsoft,13" PixelSense display,Convertible tablet-laptop with Intel Core processor, Laptops
Asus ROG Zephyrus G14,Asus,14" QHD display,Gaming laptop with AMD Ryzen 9 processor and NVIDIA GeForce RTX 30 series GPU, Laptops
Acer Predator Helios 300,Acer,15.6" Full HD 144Hz display,High-performance gaming laptop with Intel Core i7 processor and NVIDIA GeForce RTX 30 series GPU, Laptops
HP Pavilion 15,HP,15.6" Full HD display,Budget-friendly laptop with AMD Ryzen 5 processor, Laptops
Lenovo Legion 5,Lenovo,15.6" Full HD 120Hz display,Gaming laptop with AMD Ryzen 7 processor and NVIDIA GeForce RTX 30 series GPU, Laptops
Dell Latitude 14,Dell,14" Full HD display,Business laptop with Intel Core i5 processor, Laptops
Samsung Galaxy Book Pro,Samsung,15.6" AMOLED display,Ultra-slim laptop with Intel Core i7 processor, Laptops
Google Pixelbook Go,Google,13.3" Full HD touchscreen,Ultra-portable Chromebook with Intel Core processor, Laptops
iPhone 13,Apple,6.1" Super Retina XDR display,Flagship smartphone with A15 Bionic chip,Mobiles and Accessories
Samsung Galaxy S21 Ultra,Samsung,6.8" Dynamic AMOLED display,High-end smartphone with Exynos 2100 processor,Mobiles and Accessories
Google Pixel 6 Pro,Google,6.7" OLED display,Top-tier smartphone with Tensor chip,Mobiles and Accessories
OnePlus 9 Pro,OnePlus,6.7" Fluid AMOLED display,Premium smartphone with Snapdragon 888 processor,Mobiles and Accessories
Xiaomi Mi 11,Xiaomi,6.81" AMOLED display,Flagship smartphone with Snapdragon 888 processor,Mobiles and Accessories
iPhone SE (2022),Apple,4.7" Retina HD display,Compact smartphone with A15 Bionic chip,Mobiles and Accessories
Samsung Galaxy Z Fold 3,Samsung,7.6" Dynamic AMOLED 2X display,Foldable smartphone-tablet hybrid with Snapdragon 888 processor,Mobiles and Accessories
Google Pixel Buds 2,Google,True wireless earbuds,Wireless earbuds with adaptive sound,Mobiles and Accessories
AirPods Pro,Apple,True wireless earbuds,Active noise cancellation and transparency mode,Mobiles and Accessories
Samsung Galaxy Watch 4,Samsung,Smartwatch,Health and fitness tracking with Wear OS,Mobiles and Accessories
Fitbit Charge 5,Fitbit,Activity tracker,Advanced health and fitness features,Mobiles and Accessories
OnePlus Buds Pro,OnePlus,True wireless earbuds,Noise cancellation and Dolby Atmos support,Mobiles and Accessories
Xiaomi Mi Band 6,Xiaomi,Fitness tracker,AMOLED display with 24/7 heart rate monitoring,Mobiles and Accessories
iPhone 13 Pro Max,Apple,6.7" Super Retina XDR display,Pro-level smartphone with A15 Bionic chip,Mobiles and Accessories
Samsung Galaxy Note 20 Ultra,Samsung,6.9" Dynamic AMOLED 2X display,Flagship phablet with S Pen support,Mobiles and Accessories
Google Pixel Stand,Google,Wireless charging stand,Fast wireless charging with Google Assistant integration,Mobiles and Accessories
AirPods Max,Apple,Over-ear headphones,High-fidelity audio with active noise cancellation,Mobiles and Accessories
Samsung Galaxy Buds Pro,Samsung,True wireless earbuds,Intelligent ANC and immersive sound,Mobiles and Accessories
OnePlus Nord 2,OnePlus,6.43" Fluid AMOLED display,Mid-range smartphone with MediaTek Dimensity 1200-AI processor,Mobiles and Accessories
Xiaomi Redmi Note 11,Xiaomi,6.43" AMOLED display,Budget-friendly smartphone with MediaTek Helio G96 processor,Mobiles and Accessories